synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio
"Winged Migration co-directors Jacques Cluzaud and Jacques Perrin re-team for this documentary produced for Walt Disney Studios' Disneynature banner and exploring the many mysteries of our planet's oceans. Almost three-quarters of the earth's surface is covered by oceans, yet strangely we seem to know more about deep space than the world of the sea. There's no question that the ocean has played a crucial role in the history and sustenance of humankind, but what secrets does the underwater world hold? Follow filmmakers Cluzaud and Perrin beneath the ocean waves as they seek out the answer to this and explore the many dangers and mysteries of the deep.",G,Documentary|Drama,Jacques Cluzaud|Jacques Perrin,,2010-04-22,"Oct 19, 2010",$,"19,000,000",103 minutes,Disneynature
"Carbon Nation is a feature length documentary about climate change SOLUTIONS. Even if you doubt the severity of the impact of climate change or just don't buy it at all, this is a compelling and relevant film that illustrates how SOLUTIONS to climate change also address other social, economic and national security issues. 'Carbon Nation' is an optimistic discovery of what people are already doing, what we as a nation could be doing and what the world needs to do to prevent (or slow down) the impending climate crisis. We already have the technology to combat most of the worst-case scenarios of climate change, and it is very good business as well. We meet a host of entertaining and endearing characters along the way, including entrepreneurs, visionaries, scientists, business, and the everyday man, all making a difference and working towards solving climate change. We interviewed over 200 people - included in the film are Richard Branson (CEO, Virgin Group), Thomas L. Friedman (New York Times), Former CIA Director James Woolsey, Van Jones (Founder, Green For All), Col. Dan Nolan, U.S. Army (Ret), Bernie Karl (Geothermal pioneer from Alaska,) Amory Lovins (Chairman, RMI), Art Rosenfeld (Commissioner, California Energy Commission), Denis Hayes (Founder of Earth Day), Ralph Cavanagh (NRDC), Lester Brown (Earth Policy Institute), John Rowe (CEO, Exelon), Jim Rogers (CEO Duke Energy), Cliff Etheredge (West Texas wind pioneer,)and more climate change pioneers. Public opinion is sliding the wrong way - far fewer people are concerned about climate change than even a year ago. We've made Carbon Nation to give a majority of people an entertaining, informed and pragmatic primer about why it's incredibly smart to be a part of the new, low-carbon economy: its good business. Carbon Nation's optimism and pragmatism are appealing across the political spectrum. Carbon Nation is a film that celebrates solutions, inspiration and action. -- (C) Official Site",PG,Documentary|Special Interest,Peter Byck,Peter Byck|Eric Driscoll|Matt Weinhold|Karen Weigert,2011-02-11,"Sep 6, 2011",,,84 minutes,Mitropoulos Films
"In 1995, during the making of his TV series Triumph of the Nerds about the birth of the PC, Bob Cringely did a memorable hour-long interview with Steve Jobs. It was 10 years since Jobs had left Apple following a bruising struggle with John Sculley, the CEO he had brought into the company. At the time of the interview Jobs was running NeXT, the niche computer company he had founded after leaving Apple. During the interview, Jobs was at his charismatic best - witty, outspoken, visionary. In the end, only a part of the interview was used in the series and the rest was thought lost. But recently a VHS copy was found in the series director's garage. Now, cleaned up with modern technology, and put into context by Cringely, the entire interview will be screened in Landmark Theatres. -- (C) Official Site",NR,Documentary|Special Interest,Jonathan Challis|Susan Crook|John Coffey|Ian Lynch,,2012-05-11,"Oct 22, 2012",$,"104,286",70 minutes,Magnolia Pictures
A depressed ex-boxer finds his future looking up when his black sheep cousin turns his life into a living hell.,NR,Comedy|Drama|Mystery and Suspense,Nicanor Loreti,,2011-11-05,"Jun 18, 2013",,,85 minutes,
"Based on the 2009 investigative book by BBC correspondent Martin Sixsmith, The Lost Child of Philomena Lee, PHILOMENA focuses on the efforts of Philomena Lee (Dench), mother to a boy conceived out of wedlock - something her Irish-Catholic community didn't have the highest opinion of - and given away for adoption in the United States. In following church doctrine, she was forced to sign a contract that wouldn't allow for any sort of inquiry into the son's whereabouts. After starting a family years later in England and, for the most part, moving on with her life, Lee meets Sixsmith (Coogan), a BBC reporter with whom she decides to discover her long-lost son. (c) Weinstein",PG-13,Drama,Stephen Frears,Jeff Pope|Steve Coogan,2013-11-22,"Apr 15, 2014",,,98 minutes,The Weinstein Company
"Director James L. Brooks returns to the helm for this ensemble comedy starring Reese Witherspoon, Jack Nicholson, Paul Rudd, and Owen Wilson, which centers on the story of a passionate athlete who finds herself romantically torn between a narcissistic baseball star and a straight-laced businessman. As far back as Lisa (Witherspoon) can remember, her life has been defined by sports. Then, in the blink of an eye, she's cut from the team. With her identity in crisis as she attempts to regain her footing in life, Lisa begins dating Matty (Wilson), a Major League Baseball pitcher and notorious womanizer. Meanwhile, terminally honest businessman George (Rudd) finds himself on the road to financial ruin or worse after being wrongly implicated in a financial crime. As George struggles to clear his name and reconcile his turbulent relationship with his father, Charles (Nicholson), a chance meeting with Lisa at the lowest point in both of their lives leaves him optimistic that things may work out after all. Meanwhile, Lisa and George both realize that the only thing that's certain about the future is that we never know what fate has in store for us.",PG-13,Comedy|Drama|Romance,,,2010-12-17,"Mar 22, 2011",$,"30,212,620",121 minutes,Columbia Pictures
"In Final Destination 5, Death is just as omnipresent as ever, and is unleashed after one man's premonition saves a group of coworkers from a terrifying suspension bridge collapse. But this group of unsuspecting souls was never supposed to survive, and, in a terrifying race against time, the ill-fated group frantically tries to discover a way to escape Death's sinister agenda. -- (C) Warner Bros",R,Horror,Steven Quale,Eric Heisserer,2011-08-12,"Dec 27, 2011",$,"42,500,000",92 minutes,Warner Bros.
"Five-time Academy Award nominee Glenn Close stars in this emotional and thought-provoking tale of a woman forced to live as a man in 19th Century Ireland. After thirty years of keeping up the charade, a new love threatens to destroy everything she's worked so hard to build.. -- (C) Roadside Attractions",R,Drama,,Glenn Close|Gabriella Prekop|John Banville|Gabrialla Prekop,2012-01-27,"May 15, 2012",$,"3,014,541",113 minutes,Roadside Attractions
"When a young American travels to the city of Verona, home of the star-crossed lover Juliet Capulet of Romeo and Juliet fame, she joins a group of volunteers who respond to letters to Juliet seeking advice about love. When she answers one letter dated 1957, she inspires its author to travel to Italy in search of her long-lost love and sets off a chain of events that will bring a love into both their lives, unlike anything they ever imagined.",PG,Comedy|Drama|Romance,Gary Winick,Jose Rivera|Tim Sullivan,2010-05-14,"Sep 14, 2010",$,"53,021,560",105 minutes,Summit Entertainment
"With THE FITZGERALD FAMILY CHRISTMAS, Burns returns to the working-class, Irish-American roots of THE BROTHERS MCMULLEN. Reuniting with McMullen co-stars Connie Britton (""Friday Night Lights"", ""Nashville""), and Michael McGlone, along with Noah Emmerich (LITTLE CHILDREN, BEAUTIFUL GIRLS), Kerry Bish",PG-13,Drama,Edward Burns,Edward Burns,2012-12-07,"Nov 5, 2013",,,99 minutes,Tribeca Film
"Writer/director Rodrigo Garca (Nine Lives) teams with executive producer Alejandro Gonzlez Irritu to craft this drama highlighting the powerful bond between a mother and her son. It's been years since Karen (Annette Bening) gave her daughter, Elizabeth, up for adoption, and the decision to abandon her child has always haunted her. Upon meeting laid-back Paco (Jimmy Smits), Karen permits her anxiety and mistrust to get the best of her. On the surface it appears that Elizabeth (Naomi Watts) is none the worse for never knowing her biological mother; she's a fast-talking lawyer who's just landed a high-profile job at a firm fronted by Paul (Samuel L. Jackson), though her unsavory penchant for exploiting others is about to blow up in her face. Meanwhile, maternal-minded baker Lucy (Kerry Washington) longs to experience the joys of motherhood, eventually deciding that adoption is the best bet to start a family with her husband, Joseph (David Ramsey).",R,Drama,,,2010-05-07,"Dec 14, 2010",$,"1,110,286",126 minutes,Sony Pictures Classics
"In the tradition of Amblin classics where fantastical events occur in the most unexpected places, Jack Black and two-time Academy Award (R) winner Cate Blanchett star in THE HOUSE WITH A CLOCK IN ITS WALLS, from Amblin Entertainment. The magical adventure tells the spine-tingling tale of 10-year-old Lewis (Owen Vaccaro) who goes to live with his uncle in a creaky old house with a mysterious tick-tocking heart. But his new town's sleepy fa",PG,Comedy|Kids and Family|Science Fiction and Fantasy,Eli Roth,Eric Kripke,2018-09-21,"Nov 27, 2018",,,104 minutes,Universal Pictures
"CALL ME BY YOUR NAME, the new film by Luca Guadagnino, is a sensual and transcendent tale of first love, based on the acclaimed novel by Andr",R,Drama|Romance,Luca Guadagnino,James Ivory,2018-01-19,"Mar 13, 2018",,,130 minutes,
"Bosnia. Rwanda. Kosovo. Sierra Leone. Pakistan. Just a few of the world's humanitarian and political crises in the past years. Whether the result of war or nature, these disasters devastate populations and cripple health systems. Despite the immense dangers and difficulties of the work, one organization, Doctors Without Borders, has continuously intervened at these frontlines of overwhelming human need. Set in war-torn Congo and post-conflict Liberia, Living in Emergency interweaves the stories of four volunteers with Doctors Without Borders as they struggle to provide emergency medical care under the most extreme conditions. Two volunteers are new recruits: a 26 year-old Australian doctor stranded in a remote bush clinic and an American surgeon struggling to cope under the load of emergency cases in a shattered capital city. Two others are experienced field hands: a dynamic Head of Mission, valiantly trying to keep morale high and tensions under control, and an exhausted veteran, who has seen too much horror and wants out. Amidst the chaos, each volunteer must confront the severe challenges of the work, the tough choices, and the limits of their own idealism.",NR,Documentary|Special Interest,Mark Hopkins,,2010-06-04,"Dec 1, 2010",,,93 minutes,Truly Indie/BEV Pictures
"An Egyptian slave turns to Christianity in the hopes of pursuing freedom while falling in love with his master, a philosopher and atheist.",R,Action and Adventure|Art House and International|Classics|Drama|Romance,,,2010-05-28,"Oct 9, 2010",$,"600,000",126 minutes,Newmarket Films
"Hollywood 1927. George Valentin (Jean Dujardin) is a silent movie superstar. The advent of the talkies will sound the death knell for his career and see him fall into oblivion. For young extra Peppy Miller (Berenice Bejo), it seems the sky's the limit - major movie stardom awaits. The Artist tells the story of their interlinked destinies. -- (C) Weinstein",PG-13,Comedy|Drama|Romance,Michel Hazanavicius,Michel Hazanavicius,2011-11-25,"Jun 26, 2012",$,"44,667,095",100 minutes,The Weinstein Company
"Shy, sensitive April (Emma Roberts) is the class virgin -a popular soccer player and frequent babysitter for her single-dad coach, Mr. B. (James Franco). Teddy (Jack Kilmer) is an introspective artist whose best friend and sidekick Fred (Nat Wolff) is an unpredictable live wire with few filters or boundaries. While April negotiates a dangerous affair with Mr. B., and Teddy performs community service for a DUI - secretly carrying a torch for April, who may or may not share his affection - Fred seduces Emily (Zoe Levin), a promiscuous loner who seeks validation through sexual encounters. One high school party bleeds into another as April and Teddy finally acknowledge their mutual affection, and Fred's escalating recklessness spirals into chaos. (C) Tribeca",R,Drama,Gia Coppola,Gia Coppola,2014-05-09,"Sep 9, 2014",$,"406,235",100 minutes,Tribeca Film
"In this stop-motion animated comedy set in prehistoric times, a tribe of primitive hunters are displaced from their homes by emissaries from a distant empire that has mastered bronze-making. However, a tribesman named Dug (voice of Eddie Redmayne) tries to win his home back by challenging the invaders to a game of soccer. Directed by Nick Park, best known as the creator of the beloved animated duo Wallace and Gromit. Tom Hiddleston, Maisie Williams, Timothy Spall, and Richard Ayoade also lend their voices.",PG,Animation|Comedy|Kids and Family,Nick Park,Mark Burton|James Higginson,2018-02-16,"May 22, 2018",,,89 minutes,Lionsgate
"Three sisters Sachi, Yoshino and Chika live together in a large house in the city of Kamakura. When their father absent from the family home for the last 15 years dies, they travel to the countryside for his funeral and meet their shy teenage half-sister. Bonding quickly with the orphaned Suzu, they invite her to live with them. Suzu eagerly agrees, and a new life of joyful discovery begins for the four siblings.",PG,Drama,Hirokazu Koreeda,Hirokazu Koreeda,2016-07-08,"Nov 22, 2016",$,"466,986",128 minutes,Sony Pictures Classics
"Luke Wilson, Giovanni Ribisi, and Gabriel Macht headline director/co-screenwriter George Gallo's fact-based period comedy detailing the rise of the internet porn business in the mid-'90s. Businessman Jack Harris (Wilson) made his living solving other people's problems. Wayne Beering (Ribisi) and Buck Dolby (Macht) were two technological innovators with a plan to make a mint by selling pornography online. When Jack met Wayne and Buck, it was a match made in money heaven. Before long the trio was making 200,000 dollars a day, but it wouldn't last. When a young porn star begins muscling Jack from one side and the FBI starts asking questions on the other, the foolproof plan to get wealthy beyond his wildest dreams becomes an inescapable trap that threatens to break up his family and destroy his livelihood. Kelsey Grammer, Kevin Pollack, Terry Crews, and Christopher McDonald co-star.",R,Comedy|Drama,George Gallo,George Gallo|Andy Weiss,2010-08-06,"Feb 8, 2011",$,"723,714",112 minutes,Paramount Pictures
"When four lifelong friends-Regina Hall, Queen Latifah, Jada Pinkett Smith and Tiffany Haddish-travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling and romancing to make the Big Easy blush. James Lopez, head of motion pictures for Will Packer Productions, and Preston Holmes, executive produce.",R,Comedy|Drama,,Kenya Barris|Tracy Oliver,2017-07-21,"Oct 17, 2017",$,"115,088,305",122 minutes,Universal Pictures
"TOUCHY FEELY is a closely observed examination of a family whose delicate psychic balance suddenly unravels. Abby (Rosemarie DeWitt), is a sought after massage therapist and a free spirit, while her brother Paul (Josh Pais) thrives on routine and convention, running a flagging dental practice and co-dependently enlisting the assistance of his emotionally stunted daughter Jenny (Ellen Page). Suddenly, transformation touches everyone. Abby develops an uncontrollable aversion to bodily contact, which not only makes her occupation impossible but severely hinders the passionate love life between her and her boyfriend (Scoot McNairy.) Meanwhile, rumors of Paul's ""healing touch"" begin to miraculously invigorate his practice as well as his life outside the office. As Abby navigates her way through a soul-searching identity crisis, her formerly skeptical brother discovers a whole new side of himself. TOUCHY FEELY is about the experience of living in one's own skin, both literally and figuratively. The film, written and directed by Shelton, and co-starring Allison Janney, Ron Livingston, and newcomer Tomo Nakayama (of the indie rock band Grand Hallway), is filmed on location in Shelton's hometown and urban muse of Seattle. (c) Magnolia",R,Drama,Lynn Shelton,Lynn Shelton,2013-09-06,"Dec 10, 2013",$,"35,966",90 minutes,Magnolia Pictures
"The Hobbit: An Unexpected Journey follows title character Bilbo Baggins, who is swept into an epic quest to reclaim the lost Dwarf Kingdom of Erebor, which was long ago conquered by the dragon Smaug. Approached out of the blue by the wizard Gandalf the Grey, Bilbo finds himself joining a company of thirteen dwarves led by the legendary warrior Thorin Oakenshield. Although their goal lies to the East and the wastelands of the Lonely Mountain, first they must escape the goblin tunnels, where Bilbo meets the creature that will change his life forever... Gollum. Here, alone with Gollum, on the shores of an underground lake, the unassuming Bilbo Baggins not only discovers depths ofguile and courage that surprise even him, he also gains possession of Gollum's ""precious"" ...a simple, gold ring that is tied to the fate of all Middle-earth in ways Bilbo cannot begin to know. -- (C) Warner Bros",PG-13,Action and Adventure|Science Fiction and Fantasy,Peter Jackson,Peter Jackson|Philippa Boyens|Guillermo del Toro|Fran Walsh,2012-12-14,"Mar 19, 2013",$,"303,001,229",170 minutes,Warner Bros.
"When once-up-and-coming indie film starlet Halley Feiffer loses her boyfriend, her agent and her career in one fell swoop she finally realizes that something has got to change...she has to become WAY MORE FAMOUS",PG-13,Comedy,Michael Urie,Halley Feiffer|Ryan Spahn,2013-05-10,"Sep 23, 2013",,,96 minutes,Gravitas Ventures
"SNL alumni Tina Fey steps into the well worn shoes of journalist Kim Barker in Paramount Pictures' adaptation of Barker's memoir The Taliban Shuffle: Strange Days in Afghanistan and Pakistan, which details her years as a reporter in Pakistan and Afghanistan beginning in 2002.",R,Comedy|Drama,Glenn Ficarra|John Requa,Robert Carlock,2016-03-04,"Jun 28, 2016",$,"18,356,529",111 minutes,Paramount Pictures
"Based on Peter Turner's memoir, the film follows the playful but passionate relationship between Turner (Bell) and the eccentric Academy Award (R)-winning actress Gloria Grahame (Bening) in 1978 Liverpool. What starts as a vibrant affair between a legendary femme fatale and her young lover quickly grows into a deeper relationship, with Turner being the person Gloria turns to for comfort. Their passion and lust for life is tested to the limits by events beyond their control.",R,Art House and International|Drama|Romance,Paul McGuigan,Matt Greenhalgh,2017-12-29,"Apr 24, 2018",,,105 minutes,Sony Pictures Classics
"From masters of horror Blumhouse Productions- producer of THE PURGE, INSIDIOUS and SINISTER franchises- THE LAZARUS EFFECT follows a group of researchers led by Frank (Mark Duplass) and his fianc",PG-13,Horror,David Gelb,Luke Dawson|Jeremy Slater,2015-02-27,"Jun 16, 2015",$,"20,467,547",83 minutes,Relativity Media
Academy Award-nominated writer/director J.C. Chandor (Margin Call) takes the helm for this tense adventure drama about a man (Robert Redford) who must fight for survival after being lost at sea.,PG-13,Action and Adventure|Mystery and Suspense,,,2013-10-18,"Feb 11, 2014",$,"4,300,353",105 minutes,Lionsgate/Roadside Attractions
"Forced to marry a slave trader, young Beatriz faces physical and emotional unrest beyond her years in this lyrical and nuanced historical mood piece. Upon returning from a trading expedition, Antonio discovers that his wife has died in labor. Confined to a decadent but desolate property in the company of his aging mother-in-law and numerous slaves, he marries his wife's young niece, Beatriz. Separated from her family and left alone on the rugged farmhouse in the Brazilian mountains, Beatriz finds solace in the displaced and oppressed inhabitants around her. Exploring the fraught intersection of feminism, colonialism, and race that has persisted across centuries and continents, VAZANTE is a haunting and stunning solo directorial debut from Brazilian filmmaker Daniela Thomas.",NR,Action and Adventure|Art House and International|Drama,Daniela Thomas,Daniela Thomas|Beto Amaral,2018-01-12,"Apr 24, 2018",,,116 minutes,
"1967-1976 As one of history's greatest fashion designers entered a decade of freedom, neither came out of it in one piece.(C) Sony Classics",R,Art House and International|Drama|Special Interest,Bertrand Bonello,Bertrand Bonello|Thomas Bidegain,2015-05-08,"Sep 22, 2015",,,135 minutes,Sony Pictures Classics
"A young woman searches for love in New York City in this romantic comedy based on the novel by Liz Tuccillo, and produced by Drew Barrymore.",R,Comedy|Romance,Christian Ditter,Abby Kohn|Marc Silverstein|Dana Fox,2016-02-12,"May 24, 2016",,,110 minutes,Warner Bros. Pictures
"Filmed in the California desert on Super 16mm, The Frontier weaves elements of classic noir, American western, and the hard-boiled paperbacks of the '50s to create a timeless world within which the film's colorful characters roam. Shadowy, textured, and wonderfully lush, The Frontier looks like it popped out of the front cover of a gritty paperback novel. A female drifter (Jocelin Donahue, The House of the Devil) discovers a violent gang of thieves at a desert motel run by a mysterious woman (Kelly Lynch, Drugstore Cowboy) and hatches a plan to escape with their stolen cash. An official selection of SXSW 2015, this riveting neo-noir keeps viewers guessing to the last exhilarating shot.",NR,Drama|Mystery and Suspense,Oren Shai,Oren Shai|Webb Wilcoxen,2016-10-28,"Dec 6, 2016",,,88 minutes,Rocking Films
"THE ROVER, David Michod's highly anticipated follow-up to ANIMAL KINGDOM, is set in a world 10 years following the collapse of society. The rule of the law has disintegrated and life is cheap. The film follows hardened loner Eric (Pearce) as he travels the desolate towns and roads of the outback. When a gang of thieves steals his car they leave behind a wounded Rey (Pattinson) in their wake. Forcing Rey to help track the gang, Eric will go to any lengths to take back the one thing that still matters to him. Michod also wrote the film based on a story he conceived with Joel Edgerton. (c) A24",R,Mystery and Suspense|Science Fiction and Fantasy|Western,,,2014-06-13,"Sep 23, 2014",$,"709,133",103 minutes,A24 Films
"AMERICAN PASTORAL follows Seymour ""Swede"" Levov, a legendary high school athlete, who grows up to marry a former beauty queen and inherits his father's business. Swede's seemingly perfect life shatters when his daughter rebels by becoming a revolutionary and committing a deadly act of political terrorism during the Vietnam War.",R,Drama,Ewan McGregor,John Romano,2016-10-21,"Feb 7, 2017",$,"541,457",126 minutes,Lakeshore Entertainment
"Sarah Jessica Parker, Greg Kinnear, Pierce Brosnan, Olivia Munn and Christina Hendricks star in I Don't Know How She Does It, a comedy from director Douglas McGrath (Emma, Infamous) and producer Donna Gigliotti (The Reader, Let Me In). Based on the critically acclaimed bestseller by Allison Pearson, I Don't Know How She Does It follows a Boston-based working mother trying desperately to juggle marriage, children, and a high-stress job. -- (C) Weinstein",PG-13,Comedy,Douglas McGrath,Aline Brosh McKenna,2011-09-16,"Jan 3, 2012",$,"9,500,000",89 minutes,The Weinstein Co.
"The Super centers on the mysterious disappearance of several tenants at a luxury New York City apartment building. Phil Lodge (Flueger), the building's new superintendent and former NYPD officer, immediately suspects Walter (Kilmer), the strange maintenance man. With his daughters' lives on the line, Phil must decipher the cryptic riddles in which Walter speaks to solve the disappearances before it's too late.",R,Mystery and Suspense,Stephan Rick,,2018-10-19,"Dec 18, 2018",,,90 minutes,
"Beth (Diane Keaton) saves a bedraggled lost dog from the side of the freeway on a wintry day in Denver. Struggling with her distracted, self-involved husband Joseph (Kevin Kline) and an empty nest at home, Beth forms a special bond with the rescued animal. When Joseph loses the dog after their daughter's (Elisabeth Moss) wedding at their vacation home in the Rockies, Beth, distraught and angry with Joseph, enlists the help of the few remaining guests (Dianne Wiest, Richard Jenkins, Mark Duplass) and a mysterious woman (Ayelet Zurer) in a frantic search. -- (C) Sony Classics",PG-13,Comedy|Drama,Lawrence Kasdan,Lawrence Kasdan|Meg Kasdan,2012-04-20,"Aug 28, 2012",$,"793,352",103 minutes,Sony Pictures Classics
"After ten years of marriage, Jeff and Nealy Lang (Tobey Maguire and Elizabeth Banks) have an idyllic suburban home... and a relationship on the skids. But, when a family of hungry raccoons ransacks their perfectly manicured backyard, Jeff becomes single-mindedly obsessed with eradicating the pests by any means necessary. Soon the relentless rodents aren't merely uprooting the lawn, but also overturning the Langs' entire bourgeois existence, as the man-versus-beast battle leads into an absurd mess of infidelity, extortion, organ donation and other assorted mayhem. -- (C) Radius TWC",R,Comedy,Jacob Aaron Estes,Jacob Aaron Estes,2012-11-02,"Apr 30, 2013",$,"63,595",91 minutes,The Weinstein Company
"""Maleficent"" explores the untold story of Disney's most iconic villain from the classic ""Sleeping Beauty"" and the elements of her betrayal that ultimately turn her pure heart to stone. Driven by revenge and a fierce desire to protect the moors over which she presides, Maleficent cruelly places an irrevocable curse upon the human king's newborn infant Aurora. As the child grows, Aurora is caught in the middle of the seething conflict between the forest kingdom she has grown to love and the human kingdom that holds her legacy. Maleficent realizes that Aurora may hold the key to peace in the land and is forced to take drastic actions that will change both worlds forever. (c) Walt Disney Pictures",PG,Science Fiction and Fantasy,Robert Stromberg,Linda Woolverton,2014-05-30,"Nov 4, 2014",$,"190,871,149",97 minutes,Walt Disney Pictures
"Based on true events, WOMAN WALKS AHEAD tells the story of Catherine Weldon (Jessica Chastain), a widowed artist from New York who, in the 1880s, traveled alone to North Dakota to paint a portrait of Chief Sitting Bull (Michael Greyeyes). Her arrival at Standing Rock is welcomed with open hostility by a US Army officer (Sam Rockwell), who has stationed troops around the Lakota reservation to undermine Native American claims to the land. As Catherine and Sitting Bull grow closer, and as their friendship-and his life-are threatened by imperious government forces, Catherine must contend with the violence that underlies her position.",R,Drama,Susanna White,Steven Knight,2018-06-29,"Aug 28, 2018",,,102 minutes,
"HITCHCOCK is a love story about one of the most influential filmmakers of the last century, Alfred Hitchcock and his wife and partner Alma Reville. The film takes place during the making of Hitchcock's seminal movie Psycho.",PG-13,Drama,Sacha Gervasi,,2012-11-23,"Mar 12, 2013",$,"6,002,708",98 minutes,Fox Searchlight Pictures
"This animated adventure for kids stars Barbie as surfing hotshot Merliah, a Malibu girl who gets truly wrapped up in her sport when she turns into a mermaid. Teamed up with her best friend - a dolphin named Zuma - she embarks on a mission to rescue the queen of the undersea world of Oceana.",NR,Animation|Kids and Family,,Elise Allen,2010-05-01,"Mar 9, 2010",,,75 minutes,
"In his follow-up to the four-time Academy Award (R)-nominated blockbuster The Help, Tate Taylor directs 42's Chadwick Boseman as James Brown in Get on Up. Based on the incredible life story of the Godfather of Soul, the film will give a fearless look inside the music, moves and moods of Brown, taking audiences on the journey from his impoverished childhood to his evolution into one of the most influential figures of the 20th century. Boseman is joined in the drama by Viola Davis, Octavia Spencer, Nelsan Ellis, Lennie James, Tika Sumpter, Jill Scott and Dan Aykroyd.",PG-13,Drama,Tate Taylor,Tate Taylor|Jez Butterworth|John-Henry Butterworth|Steven Baigelman,2014-08-01,"Jan 6, 2015",$,"22,838,662",138 minutes,Universal Pictures
"From the outer reaches of space to the small-town streets of suburbia, the hunt comes home in Shane Black's explosive reinvention of the Predator series. Now, the universe's most lethal hunters are stronger, smarter and deadlier than ever before, having genetically upgraded themselves with DNA from other species. When a young boy accidentally triggers their return to Earth, only a ragtag crew of ex-soldiers and a disgruntled science teacher can prevent the end of the human race.",R,Action and Adventure|Horror|Science Fiction and Fantasy,Shane Black,Shane Black|Fred Dekker,2018-09-14,"Nov 27, 2018",,,,
"Dating guru Matthew Taylor (Shemar Moore) falls for celebrity therapist Kristin Peralta (Nadine Velazquez) while he does a book tour to promote his best-selling self-help guide. In time, their relationship forces him to confront his issues stemming from a prior breakup. Directed by Youssef Delara.",PG-13,Comedy|Romance,Youssef Delara,Victor Teran|Youssef Delara|Staci Robinson,2016-12-09,"Apr 4, 2017",$,"320,676",104 minutes,
"When her director husband is occupied with work in Paris, an American woman takes a jaunt with his business associate, a charming Gallic rogue who is happy to squire her on a tour of some of the finest meals in Provence. The first feature directed by Eleanor Coppola, wife of Francis and director of the ""Apocalypse Now"" documentary ""Hearts of Darkness"".",PG,Comedy|Romance,Eleanor Coppola,Eleanor Coppola,2017-05-12,"Sep 5, 2017",$,"5,617,321",92 minutes,Sony Pictures Classics
"BLACK OR WHITE is the story of a grandfather (Academy Award (R) winner Kevin Costner) who is suddenly left to care for his beloved granddaughter. When her paternal grandmother (Academy Award (R) winner Octavia Spencer) seeks custody with the help of her brother (Anthony Mackie), the little girl is torn between two families who love her deeply. With the best intentions at heart, both families fight for what they feel is right and are soon forced to confront their true feelings about race, forgiveness, and understanding. Anchored by an all-star cast and based on real events, the movie is a look at two seemingly different worlds, in which nothing is as simple as black or white. (C) Relativity",PG-13,Drama,Mike Binder,Mike Binder,2015-01-30,"May 5, 2015",$,"15,504,419",90 minutes,
Cameron Post (Chlo,NR,Drama,Desiree Akhavan,Desiree Akhavan|Cecilia Frugiuele,2018-08-03,"Dec 3, 2018",,,90 minutes,FilmRise
"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in Miami...and dump them. They have three days to get to him and stop the proposal, saving themselves not only from losing Dave but possibly from gaining a terrible stepbrother. (C) Fox",PG,Animation|Comedy|Kids and Family,Walt Becker,,2015-12-18,"Mar 15, 2016",$,"66,580,191",86 minutes,20th Century Fox
"After publishing a bestselling novel based on the death of one of his high school classmates, the controversial writer Sidney Hall (Logan Lerman) finds himself catapulted to unexpected fame and renown. His relationship with his girlfriend (Elle Fanning) begins to fall apart as the dark consequences of the book intrude on their life together, and he disappears without a trace. Nearly a decade later, an enigmatic detective searches for the missing author, whose books are connected to a string of mysterious arsons.",R,Drama|Mystery and Suspense,Shawn Christensen,Shawn Christensen|Jason Dolan,2018-03-02,"Mar 20, 2018",,,120 minutes,
"From Ron Shelton, writer/director of Tin Cup and Bull Durham, comes the new comedy, Just Getting Started. Morgan Freeman stars as DUKE DIVER, the freewheeling manager of the luxury Palm Springs resort, the Villa Capri. DIVER may have a mysterious past, but he's a pro at making sure that life for the high-spirited residents is one big, non-stop party. But the status quo is challenged when ex-military charmer LEO (Tommy Lee Jones) checks in, triggering a competition between Duke and Leo for the top spot of Alpha male, as well as for the affections of the newly-arrived SUZIE (Rene Russo). When Duke's past suddenly catches up with him, the rivals put aside their differences and the two men reluctantly team up to stop whoever is trying to kill Duke, and also save the Villa Capri.",PG-13,Action and Adventure|Comedy,Ron Shelton,Ron Shelton,2017-12-08,"Feb 27, 2018",,,,Broad Green Pictures
"A heartfelt tale of inspiration, hope and redemption, ""Letters to God"" is the story of what happens when one boy's walk of faith crosses paths with one man's search for meaning -- the resulting transformational journey touches the lives of everyone around them.",PG,Drama|Kids and Family|Faith and Spirituality,David Nixon|Patrick Doughtie,,2010-04-09,"Aug 10, 2010",$,"1,121,000",110 minutes,Vivendi Entertainment
"Imagine the end of the world. Now imagine something worse. Award-winning filmmaker Trey Edward Shults follows his incredible debut feature KRISHA with IT COMES AT NIGHT, a horror film following a man (Joel Edgerton) as he learns that the evil stalking his family home may be only a prelude to horrors that come from within. Secure within a desolate home as an unnatural threat terrorizes the world, the tenuous domestic order he has established with his wife and son is put to the ultimate test with the arrival of a desperate young family seeking refuge. Despite the best intentions of both families, paranoia and mistrust boil over as the horrors outside creep ever-closer, awakening something hidden and monstrous within him as he learns that the protection of his family comes at the cost of his soul.",R,Drama|Horror,Trey Edward Shults,Trey Edward Shults,2017-06-09,"Sep 12, 2017",$,"13,985,117",91 minutes,A24
